2026-03-17T10:54:34.203286+00:00,18.24,52.29,5,1006.58
2026-03-17T10:54:39.207792+00:00,18.92,52.49,5,1006.57
2026-03-17T10:54:44.212768+00:00,19.11,52.16,5,1006.61
2026-03-17T10:54:49.217699+00:00,18.77,52.18,5,1006.69
2026-03-17T10:54:54.222652+00:00,18.77,51.95,5,1006.77
2026-03-17T10:54:59.227558+00:00,19.13,52.13,5,1006.75
2026-03-17T10:55:04.232505+00:00,19.17,52.26,5,1006.71
2026-03-17T10:55:09.237482+00:00,18.96,52.32,5,1006.68
2026-03-17T10:55:14.242510+00:00,19.45,51.98,5,1006.64
2026-03-17T10:55:19.247407+00:00,19.42,51.71,5,1006.67
2026-03-17T10:55:24.252302+00:00,19.28,51.48,5,1006.73
2026-03-17T10:55:29.257206+00:00,19.77,51.07,5,1006.68
2026-03-17T10:55:34.262117+00:00,19.99,50.9,5,1006.66
2026-03-17T10:55:39.267123+00:00,19.16,50.51,5,1006.69
2026-03-17T10:55:44.272041+00:00,19.5,50.48,5,1006.71
2026-03-17T10:55:49.276950+00:00,19.52,50.47,5,1006.76
2026-03-17T10:55:54.281842+00:00,19.67,50.1,5,1006.62
2026-03-17T10:55:59.286784+00:00,19.56,50.04,5,1006.59
2026-03-17T10:56:04.291374+00:00,19.74,50.18,5,1006.65
2026-03-17T10:56:09.295875+00:00,19.77,50.13,5,1006.71
2026-03-17T10:56:14.300807+00:00,19.3,49.81,5,1006.87
2026-03-17T10:56:19.306354+00:00,19.71,50.12,5,1006.73
2026-03-17T10:56:24.311260+00:00,19.77,49.85,5,1007.0
2026-03-17T10:56:29.316218+00:00,19.29,49.78,5,1006.72
2026-03-17T10:56:34.321123+00:00,19.99,49.74,5,1006.53
2026-03-17T10:56:39.326117+00:00,19.7,49.44,5,1006.63
2026-03-17T10:56:44.331024+00:00,19.91,49.15,5,1006.71
2026-03-17T10:56:49.335933+00:00,19.45,49.17,5,1006.74
2026-03-17T10:56:54.340907+00:00,20.12,49.43,5,1006.86
2026-03-17T10:56:59.346750+00:00,19.9,49.08,5,1006.89
2026-03-17T10:57:04.351514+00:00,19.61,49.03,5,1006.86
2026-03-17T10:57:09.356000+00:00,20.09,49.27,5,1006.82
2026-03-17T10:57:14.361000+00:00,19.08,48.95,5,1006.76
2026-03-17T10:57:19.365912+00:00,19.87,48.91,5,1006.8
2026-03-17T10:57:24.371090+00:00,20.05,49.04,5,1006.77
2026-03-17T10:57:29.375954+00:00,19.37,48.78,5,1006.76
2026-03-17T10:57:34.380849+00:00,19.69,48.5,5,1006.8
2026-03-17T10:57:39.385804+00:00,20.2,48.42,5,1006.84
2026-03-17T10:57:44.390812+00:00,20.7,48.49,5,1006.85
2026-03-17T10:57:49.395681+00:00,20.2,48.46,5,1006.9
2026-03-17T10:57:54.400564+00:00,20.44,47.78,5,1006.96
2026-03-17T10:57:59.405448+00:00,20.33,47.81,5,1006.83
2026-03-17T10:58:04.410381+00:00,19.94,48.16,5,1006.53
2026-03-17T10:58:09.415338+00:00,20.16,47.97,5,1006.77
2026-03-17T10:58:14.420191+00:00,19.94,47.76,5,1006.81
2026-03-17T10:58:19.425129+00:00,20.47,47.52,5,1006.88
